id,Postcodes,locality,state,lat,long,Lat_precise,Long_precise
15663,5734,ERINGA,SA,-26.56412966,134.769553,-26.7149,135.076
15664,5734,MACUMBA,SA,-27.28522699,136.2058269,-27.2849,136.205
15665,5734,MOUNT SARAH,SA,-26.9868165,135.3407867,-26.9347,135.348
15666,5734,OODNADATTA,SA,-27.057139,135.062571,-27.5423415,135.4203144
15667,5734,SIMPSON DESERT,SA,-26.67803018,137.4325649,-26.679,137.432
15668,5734,TODMORDEN,SA,-27.28387283,134.8270621,-27.2838,134.827
15669,5734,WITJIRA,SA,-26.33851018,135.675034,-26.393,135.696
15670,5800,ADELAIDE,SA,-35.120097,139.273782,-34.9284989,138.6007456
15671,5810,ADELAIDE,SA,-35.120097,139.273782,-34.9284989,138.6007456
15672,5839,ADELAIDE,SA,-35.120097,139.273782,-34.9284989,138.6007456
15673,5942,REGENCY PARK,SA,-34.860017,138.565906,-34.86,138.57
15674,5950,ADELAIDE AIRPORT,SA,-34.945146,138.530183,-34.9454042,138.5237246
15675,5950,EXPORT PARK,SA,-34.945146,138.530183,-34.935,138.541
